Rok,Kandidátnílistina,Kandidátnílistina.1,Poř.číslo,Kandidát,Kandidát.1,Věk,Navrh.strana,Polit.přísl.,Hlasy,Hlasy.1,Pořadí,Mandát
Rok,Kandidátnílistina,Kandidátnílistina,Poř.číslo,"Příjmení, jméno",Tituly,Věk,Navrh.strana,Polit.přísl.,abs.,v %,Pořadí,Mandát
2018,5,KRÁSNÁ MLADÁ BOLESLAV,17,Bubelová Kateřina,,41,NK,BEZPP,373,3.05,,
2018,1,Komunistická str.Čech a Moravy,28,Buryška Jiří,,73,KSČM,KSČM,694,2.76,26,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,19,Busch Miroslav,,61,NK,BEZPP,317,2.59,,
2018,4,ANO 2011+Volba pro Ml.Boleslav,22,Cigler David,,45,VpMB,BEZPP,2 917,2.91,12,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,5,Cihlář Jan,,23,NK,BEZPP,462,3.78,,
2018,8,"Koalice KDU-ČSL, Zelení",11,Čečilová Edita,Bc. DiS.,38,KDU-ČSL,BEZPP,559,2.71,10,
2018,1,Komunistická str.Čech a Moravy,7,Čenec Martin,Bc.,41,KSČM,BEZPP,785,3.12,6,
2018,7,Svob.a př.dem.-T.Okamura (SPD),26,Čermáková Michala,,31,SPD,BEZPP,530,2.85,,
2018,2,TOP 09,6,Černá Eršilová Kateřina,Ing.,36,TOP 09,TOP 09,531,3.42,,
2018,2,TOP 09,19,Černý Martin,,34,TOP 09,BEZPP,416,2.68,,
2018,2,TOP 09,5,Čerychová Jitka,Ing.,43,TOP 09,TOP 09,522,3.36,,
2018,6,Česká str.sociálně demokrat.,5,Čuban Miroslav,,48,ČSSD,ČSSD,1 042,3.52,3,*
2018,6,Česká str.sociálně demokrat.,29,Čuban Miroslav,Ing.,82,ČSSD,ČSSD,797,2.69,26,
2018,4,ANO 2011+Volba pro Ml.Boleslav,24,Čupík Jaroslav,,72,VpMB,BEZPP,2 896,2.89,14,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,16,Dančo Milan,,30,NK,BEZPP,328,2.68,,
2018,1,Komunistická str.Čech a Moravy,11,Diblík Jiří,,43,KSČM,BEZPP,786,3.13,9,
2018,1,Komunistická str.Čech a Moravy,27,Dolanská Jana,,73,KSČM,KSČM,690,2.75,25,
2018,7,Svob.a př.dem.-T.Okamura (SPD),12,Dolenská Lidmila,,71,SPD,SPD,554,2.98,,
2018,7,Svob.a př.dem.-T.Okamura (SPD),8,Dolenský Pavel,,74,SPD,SPD,576,3.10,,
2018,8,"Koalice KDU-ČSL, Zelení",32,Doležalová Zdenka,Ing.,38,Zelení,BEZPP,473,2.29,30,
2018,9,STAROSTOVÉ A NEZÁVISLÍ,6,Dostál Petr,Mgr.,44,STAN,BEZPP,1 852,3.82,1,
2018,1,Komunistická str.Čech a Moravy,12,Dovolil Josef,Ing.,61,KSČM,KSČM,796,3.17,10,
2018,1,Komunistická str.Čech a Moravy,16,Dovolilová Lenka,,60,KSČM,KSČM,752,2.99,14,
2018,8,"Koalice KDU-ČSL, Zelení",5,Drahokoupilová Zdenka,Mgr.,66,Zelení,BEZPP,685,3.32,6,
